Item Point ID,Map,Region,Guaranteed Drop,Min,Common Drop,Common %,Rare Drop,Rare %
IP_MP7471_09,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_10,Waterfall Grotto,Waterfall Grotto,small leaves,2,beautiful flowers,20%,foxglove leaves,5%
IP_MP7471_11,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_12,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_13,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_14,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_15,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP1108_01,Valley (Where Hummel Joins),Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1108_02,Valley (Where Hummel Joins),Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1108_03,Valley (Where Hummel Joins),Beast Hills,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1108_04,Valley (Where Hummel Joins),Beast Hills,mountain bird eggs,1,bending twig,20%,,
IP_MP1108_05,Valley (Where Hummel Joins),Beast Hills,bending twig,1,glossy wood,20%,lateca resin,2%
IP_MP1108_06,Valley (Where Hummel Joins),Beast Hills,bending twig,1,glossy wood,20%,lateca resin,2%
IP_MP1108_07,Valley (Where Hummel Joins),Beast Hills,bending twig,1,glossy wood,20%,lateca resin,2%
IP_MP1108_08,Valley (Where Hummel Joins),Beast Hills,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP4102_01,Beast Hills North Camp,Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP4102_02,Beast Hills North Camp,Beast Hills,bending twig,2,glossy wood,10%,White dew antler,20%
IP_MP2103_01,Beast Hills South Camp,Beast Hills,Honey,1,,,,
IP_MP1109_01,Collapsed Cliff,Beast Hills,small leaves,1,beautiful flowers,10%,foxglove leaves,5%
IP_MP1109_02,Collapsed Cliff,Beast Hills,bending twig,2,glossy wood,20%,lateca resin,2%
IP_MP1109_03,Collapsed Cliff,Beast Hills,strange lump,2,Iron ore,20%,stalactite,2%
IP_MP1109_04,Collapsed Cliff,Beast Hills,bending twig,2,glossy wood,40%,lateca resin,10%
IP_MP1109_05,Collapsed Cliff,Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP4301_01,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_02,Entrance,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4301_03,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_04,Entrance,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4301_05,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_06,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_08,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_09,Entrance,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4302_01,Cave,Eroded Valley,strange lump,1,Iron ore,20%,stalactite,5%
IP_MP4302_02,Cave,Eroded Valley,strange lump,1,Iron ore,20%,stalactite,5%
IP_MP4302_03,Cave,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4302_04,Cave,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4302_05,Cave,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4302_06,Cave,Eroded Valley,strange lump,1,Iron ore,20%,stalactite,5%
IP_MP4303_01,Dark Passage,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4303_02,Dark Passage,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4303_03,Dark Passage,Eroded Valley,strange lump,1,Iron ore,10%,rock salt,20%
IP_MP4303_04,Dark Passage,Eroded Valley,strange lump,2,Iron ore,20%,stalactite,10%
IP_MP4303_05,Dark Passage,Eroded Valley,strange lump,2,Iron ore,20%,stalactite,10%
IP_MP4303_06,Dark Passage,Eroded Valley,strange lump,2,Iron ore,20%,stalactite,10%
IP_MP4303_07,Dark Passage,Eroded Valley,Iron ore,2,Iron ore,20%,stalactite,10%
IP_MP4303_08,Dark Passage,Eroded Valley,Iron ore,2,Iron ore,20%,stalactite,10%
IP_MP4304_01,Small Cliff,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4304_02,Small Cliff,Eroded Valley,strange lump,1,Iron ore,10%,rock salt,20%
IP_MP4305_01,Midpoint,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4305_02,Midpoint,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4305_03,Midpoint,Eroded Valley,strange lump,1,Iron ore,20%,,
IP_MP4305_04,Midpoint,Eroded Valley,small leaves,2,beautiful flowers,20%,foxglove leaves,5%
IP_MP4305_05,Midpoint,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4307_01,Webbed Walkways,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,5%
IP_MP4307_02,Webbed Walkways,Eroded Valley,small leaves,2,beautiful flowers,20%,foxglove leaves,5%
IP_MP4307_03,Webbed Walkways,Eroded Valley,crudberry fruit,1,,,,
IP_MP4307_04,Webbed Walkways,Eroded Valley,crudberry fruit,1,,,,
IP_MP4307_05,Webbed Walkways,Eroded Valley,crudberry fruit,1,,,,
IP_MP4307_06,Webbed Walkways,Eroded Valley,mountain bird eggs,1,bending twig,20%,,
IP_MP4307_07,Webbed Walkways,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4307_08,Webbed Walkways,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4307_09,Webbed Walkways,Eroded Valley,small leaves,2,beautiful flowers,20%,foxglove leaves,10%
IP_MP4307_10,Webbed Walkways,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4308_01,End,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4308_02,End,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4308_03,End,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP1119_01,Sunrise Beach,Sunrise Beach,coconut palm,1,,,,
IP_MP1119_02,Sunrise Beach,Sunrise Beach,coconut palm,1,,,,
IP_MP1119_03,Sunrise Beach,Sunrise Beach,small leaves,1,beautiful flowers,10%,foxglove leaves,5%
IP_MP1119_04,Sunrise Beach,Sunrise Beach,strange lump,2,rock salt,40%,,
IP_MP3101_01,South of Nameless Coast Rockslide,Weathervane Hills,bending twig,2,glossy wood,20%,lateca resin,5%
IP_MP3101_02,South of Nameless Coast Rockslide,Weathervane Hills,strange lump,1,Iron ore,10%,stalactite,5%
IP_MP3101_03,South of Nameless Coast Rockslide,Weathervane Hills,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP3102_01,Zephyr Hill,Weathervane Hills,bending twig,2,glossy wood,20%,lateca resin,5%
IP_MP3102_02,Zephyr Hill,Weathervane Hills,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP3102_03,Zephyr Hill,Weathervane Hills,strange lump,1,Iron ore,10%,stalactite,5%
IP_MP3102_04,Zephyr Hill,Weathervane Hills,strange lump,1,Iron ore,10%,stalactite,5%
IP_MP7451_01,Headwater Falls,Headwater Falls,strange lump,1,Iron ore,10%,stalactite,5%
IP_MP7451_02,Headwater Falls,Headwater Falls,bending twig,1,glossy wood,20%,lateca resin,5%
IP_MP7451_03,Headwater Falls,Headwater Falls,strange lump,1,Iron ore,10%,stalactite,5%
IP_MP7451_04,Headwater Falls,Headwater Falls,strange lump,1,Iron ore,10%,stalactite,5%
IP_MP7451_05,Headwater Falls,Headwater Falls,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP7461_01,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7461_02,Submerged Area,Underground Water Vein,bending twig,1,warm wood,10%,Pangu tree,2%
IP_MP7461_03,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7461_04,Submerged Area,Underground Water Vein,bending twig,1,warm wood,10%,Pangu tree,2%
IP_MP7461_05,Submerged Area,Underground Water Vein,beautiful flowers,1,shining leaves,10%,Pangu flower,2%
IP_MP7461_06,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7461_07,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7461_08,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7461_09,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7461_10,Submerged Area,Underground Water Vein,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7462_01,Lapis Mineral Vein,Underground Water Vein,tektite ore,2,Rispar,20%,dragonite,20%
IP_MP7462_02,Lapis Mineral Vein,Underground Water Vein,Iron ore,1,tektite ore,20%,Rispar,2%
IP_MP7462_03,Lapis Mineral Vein,Underground Water Vein,Iron ore,1,tektite ore,20%,Rispar,2%
IP_MP7462_04,Lapis Mineral Vein,Underground Water Vein,Iron ore,1,tektite ore,20%,Rispar,2%
IP_MP7462_05,Lapis Mineral Vein,Underground Water Vein,Iron ore,1,tektite ore,20%,Rispar,2%
IP_MP7462_06,Lapis Mineral Vein,Underground Water Vein,strange lump,1,Iron ore,20%,tektite ore,2%
IP_MP7462_07,Lapis Mineral Vein,Underground Water Vein,strange lump,1,Iron ore,20%,tektite ore,2%
IP_MP7462_08,Lapis Mineral Vein,Underground Water Vein,strange lump,1,Iron ore,20%,tektite ore,2%
IP_MP7462_09,Lapis Mineral Vein,Underground Water Vein,strange lump,1,Iron ore,20%,tektite ore,2%
IP_MP7462_10,Lapis Mineral Vein,Underground Water Vein,shining leaves,2,Pangu flower,20%,Aura grass,10%
IP_MP2301_01,Entrance,Schlamm Jungle,small leaves,1,beautiful flowers,10%,foxglove leaves,5%
IP_MP2301_02,Entrance,Schlamm Jungle,mango,1,,,,
IP_MP2301_03,Entrance,Schlamm Jungle,mango,1,,,,
IP_MP2301_04,Entrance,Schlamm Jungle,bending twig,1,glossy wood,20%,,
IP_MP2301_05,Entrance,Schlamm Jungle,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP2301_06,Entrance,Schlamm Jungle,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP2302_01,North of Entrance,Schlamm Jungle,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP2302_02,North of Entrance,Schlamm Jungle,small leaves,1,beautiful flowers,20%,foxglove leaves,10%
IP_MP2302_03,North of Entrance,Schlamm Jungle,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP2302_04,North of Entrance,Schlamm Jungle,mango,1,,,,
IP_MP2302_05,North of Entrance,Schlamm Jungle,mango,1,,,,
IP_MP2302_06,North of Entrance,Schlamm Jungle,small leaves,1,beautiful flowers,20%,foxglove leaves,10%
IP_MP2303_01,Midpoint,Schlamm Jungle,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP2303_02,Midpoint,Schlamm Jungle,strange lump,1,rock salt,10%,,
IP_MP2303_03,Midpoint,Schlamm Jungle,Honey,1,,,,
IP_MP2304_01,Mid-Boss Arena,Schlamm Jungle,strange lump,1,rock salt,20%,,
IP_MP2305_01,Small Passage,Schlamm Jungle,mango,1,,,,
IP_MP2305_02,Small Passage,Schlamm Jungle,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP2305_03,Small Passage,Schlamm Jungle,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP2306_01,Muddy Passage,Schlamm Jungle,mango,1,,,,
IP_MP2306_02,Muddy Passage,Schlamm Jungle,mango,1,,,,
IP_MP2306_03,Muddy Passage,Schlamm Jungle,strange lump,1,rock salt,20%,,
IP_MP2306_04,Muddy Passage,Schlamm Jungle,strange lump,1,rock salt,20%,,
IP_MP2306_05,Muddy Passage,Schlamm Jungle,mango,1,,,,
IP_MP2306_06,Muddy Passage,Schlamm Jungle,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP2306_07,Muddy Passage,Schlamm Jungle,mango,1,,,,
IP_MP2306_08,Muddy Passage,Schlamm Jungle,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP2306_09,Muddy Passage,Schlamm Jungle,cabbage,1,,,,
IP_MP2306_10,Muddy Passage,Schlamm Jungle,cabbage,1,,,,
